name,count,changed,beforeNorm,afterNorm,deltaNorm,maxAbsDelta,beforeFinite,afterFinite
roberta.encoder.layer.2.attention.self.key.bias,768,768,0.09672100315284626,0.09672101474228124,1.0779583860284609e-06,2.4586915969848633e-07,True,True
roberta.encoder.layer.2.attention.self.key.weight,589824,589772,51.27246833551846,51.27241583692458,0.014330283891170968,8.674245327711105e-05,True,True
roberta.encoder.layer.2.attention.self.query.bias,768,768,4.652303629906589,4.6523229025753645,0.0006926568402782257,8.0108642578125e-05,True,True
roberta.encoder.layer.2.attention.self.query.weight,589824,589775,51.935016377987004,51.93498127696415,0.014397601065314576,8.080154657363892e-05,True,True
roberta.encoder.layer.2.attention.self.value.bias,768,768,0.9149919803394156,0.9149926892284339,0.0010968488776957272,8.993735536932945e-05,True,True
roberta.encoder.layer.2.attention.self.value.weight,589824,589800,35.333589507816384,35.33358683628616,0.01882285317041094,9.262189269065857e-05,True,True
roberta.encoder.layer.2.intermediate.dense.bias,3072,3071,6.807335358083048,6.807359034512123,0.0017015818845723554,9.98564064502716e-05,True,True
roberta.encoder.layer.2.intermediate.dense.weight,2359296,2359115,94.93340184974002,94.93352601881205,0.03325375500814108,0.00010001286864280701,True,True
roberta.encoder.layer.2.output.LayerNorm.bias,768,768,1.76300424882944,1.7632043344101107,0.0012261770781914483,9.198859333992004e-05,True,True
roberta.encoder.layer.2.output.LayerNorm.weight,768,767,18.676792691156006,18.676789855583092,0.0008086330524710571,8.463859558105469e-05,True,True
roberta.encoder.layer.2.output.dense.bias,768,768,2.463692745026087,2.4637467139348126,0.0012360972572730633,9.33036208152771e-05,True,True
roberta.encoder.layer.2.output.dense.weight,2359296,2359213,74.10082671956515,74.10082417676874,0.046891962610496524,9.93143767118454e-05,True,True
roberta.encoder.layer.3.attention.output.LayerNorm.bias,768,768,3.039121177137637,3.0392552551919003,0.0012060328479511768,9.328871965408325e-05,True,True
roberta.encoder.layer.3.attention.output.LayerNorm.weight,768,767,22.184958586729078,22.18495554341068,0.0008334310279573313,9.334087371826172e-05,True,True
roberta.encoder.layer.3.attention.output.dense.bias,768,768,1.9159309643532392,1.9158684721550108,0.0012606915790365884,9.464100003242493e-05,True,True
roberta.encoder.layer.3.attention.output.dense.weight,589824,589802,32.82900957159328,32.829066094109336,0.023575182268446758,9.79062169790268e-05,True,True
roberta.encoder.layer.3.attention.self.key.bias,768,768,0.09675356533244897,0.09675381952787168,1.0215243004332363e-06,2.4586915969848633e-07,True,True
roberta.encoder.layer.3.attention.self.key.weight,589824,589763,53.15255187111954,53.15265719754542,0.014999608144488424,8.277595043182373e-05,True,True
roberta.encoder.layer.3.attention.self.query.bias,768,768,4.516399835767614,4.516361046448202,0.0007190258219730448,7.796287536621094e-05,True,True
roberta.encoder.layer.3.attention.self.query.weight,589824,589770,54.884334598685875,54.88445328304704,0.014969477346980693,8.684396743774414e-05,True,True
roberta.encoder.layer.3.attention.self.value.bias,768,768,0.8808990160560821,0.8810229910945385,0.0012026585874926484,9.113922715187073e-05,True,True
roberta.encoder.layer.3.attention.self.value.weight,589824,589795,35.989560327691684,35.98967354734454,0.021863826994286076,9.659677743911743e-05,True,True
roberta.encoder.layer.3.intermediate.dense.bias,3072,3071,6.485190132226974,6.485267263999225,0.001739556420115602,8.756667375564575e-05,True,True
roberta.encoder.layer.3.intermediate.dense.weight,2359296,2359134,92.86404839409573,92.8640341718533,0.03487652187460057,9.476765990257263e-05,True,True
roberta.encoder.layer.3.output.LayerNorm.bias,768,768,1.8113662833819968,1.8115951547389486,0.0012999909711776936,9.733624756336212e-05,True,True
roberta.encoder.layer.3.output.LayerNorm.weight,768,768,19.05337181351749,19.053386808767065,0.0008741658275854801,9.101629257202148e-05,True,True
roberta.encoder.layer.3.output.dense.bias,768,768,2.339200884519809,2.3392114194008458,0.0013465241830163596,9.728223085403442e-05,True,True
